date,regime,confidence,gated_regime,wf_regime,alloc_SP500,alloc_Bonds,alloc_Gold,alloc_Cash,strategy_ret,spy_ret
2020-10-22,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.004471,0.005485
2020-10-23,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001243,0.003395
2020-10-26,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000139,-0.01848
2020-10-27,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001787,-0.003447
2020-10-28,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.008074,-0.034179
2020-10-29,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.002168,0.010163
2020-10-30,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,-0.001647,-0.010425
2020-11-02,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.00553,0.011208
2020-11-03,Macro,1.0,Macro,Macro,0.1,0.2,0.3,0.4,0.002308,0.017656
2020-11-04,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.006406,0.022349
2020-11-05,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.009193,0.019503
2020-11-06,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.002013,-0.000228
2020-11-09,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.016228,0.012565
2020-11-10,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000306,-0.001466
2020-11-11,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.000167,0.007429
2020-11-12,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.004252,-0.009701
2020-11-13,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003165,0.013844
2020-11-16,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.000751,0.012483
2020-11-17,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000333,-0.005378
2020-11-18,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.002341,-0.012035
2020-11-19,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.000887,0.00421
2020-11-20,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001997,-0.006848
2020-11-23,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.006225,0.005994
2020-11-24,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.004978,0.016114
2020-11-25,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000911,-0.001542
2020-11-27,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000825,0.002785
2020-11-30,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.002695,-0.004427
2020-12-01,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.004463,0.010937
2020-12-02,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.00088,0.002104
2020-12-03,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003948,-0.000273
2020-12-04,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.002922,0.008618
2020-12-07,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.006073,-0.002055
2020-12-08,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.002284,0.002926
2020-12-09,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.006686,-0.008969
2020-12-10,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001166,-0.000327
2020-12-11,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001148,-0.001172
2020-12-14,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.002654,-0.004478
2020-12-15,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.00488,0.01352
2020-12-16,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.00128,0.001569
2020-12-17,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003186,0.005592
2020-12-18,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001508,-0.003993
2020-12-21,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000517,-0.003576
2020-12-22,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001507,-0.001686
2020-12-23,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.000702,0.000899
2020-12-24,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.002376,0.00389
2020-12-28,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000141,0.008591
2020-12-29,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.000648,-0.001908
2020-12-30,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.002872,0.001427
2020-12-31,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001914,0.005081
2021-01-04,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.005075,-0.013614
2021-01-05,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,9.2e-05,0.006887
2021-01-06,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.00838,0.005979
2021-01-07,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000978,0.014857
2021-01-08,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.010339,0.005698
2021-01-11,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001593,-0.006741
2021-01-12,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001804,0.000211
2021-01-13,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001229,0.002693
2021-01-14,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.002379,-0.003502
2021-01-15,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.003658,-0.007293
2021-01-19,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003973,0.007852
2021-01-20,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.006465,0.013839
2021-01-21,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001501,0.000912
2021-01-22,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.002069,-0.00354
2021-01-25,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.00301,0.003944
2021-01-26,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001275,-0.001561
2021-01-27,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.003836,-0.024441
2021-01-28,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,3.3e-05,0.0086
